Kernel,Memory BW (GB/s),Memory %,Compute (TFLOPS),Compute %
PyTorch Reference,89.15235360000001,79.60031571428571,3.639561536571429,40.43957262857143
p0 (Naive: 3 kernels),40.023377930666655,35.73515886666666,4.666635822,51.85150913333333
p1 (Tiled + Online Softmax),41.791209749333326,37.31358013333333,3.5835690600000003,39.817434000000006
p2 (FlashLite Fused),38.84394945454545,34.682097727272726,3.0600421363636365,34.000468181818185
