Kernel,Mean (ms),Std (ms),Min (ms),Max (ms),Speedup vs PyTorch,Speedup vs p0
PyTorch Reference,5.628831033706665,0.051237649772476,5.590015888214111,5.764095783233643,1.0,
p0 (Naive: 3 kernels),24.85551370620728,0.0092731274426233,24.838144302368164,24.8852481842041,0.2264620679435385,1.0
p1 (Tiled + Online Softmax),19.34164093017578,0.0498381565420122,19.25619125366211,19.50275230407715,0.2910213799349809,1.285077817127142
p2 (FlashLite Fused),7.215285449028015,0.0029271189914608,7.208640098571777,7.227200031280518,0.7801258970932239,3.444841355452626
